, ，
“ 「
” 」
‘ 『
’ 』
' 』
怀 懷
号 號
财 財
标 標
克星 剋星
別扭 彆扭
郁 鬱
葯 藥
槟 檳
适 適
谑 謔
癥 症
虫 蟲
铿 鏗
锵 鏘
态 態
讨 討
胧 朧
挂 掛
仆 僕
扑 撲
胜 勝
触 觸
隐 隱
随 隨
铳 銃
刭 剄
尴 尷
着 著
証 證
复 復
颠 顛
粘 黏
迹 跡
币 幣
哒 達
拟 擬
镂 鏤
啰 囉
听 聽
楮 睛
癫 癲
圣 聖
并 並
愿 願
尸 屍
筑 築
亵 褻
渎 瀆
滞 滯
閑 閒
鉆 鑽
吓 嚇
将 將
觐 覲
註 注
抻 伸
妩 嫵
髅 髏
枭 梟
诩 詡
铠 鎧
浏 瀏
巅 巔
蹒 蹣
争 爭
铎 鐸
忏 懺
朮 術
确 確
薑陌 姜陌
薑府 姜府
薑家 姜家
薑老太爺 姜老太爺
薑老爺 姜老爺
薑青山 姜青山
薑勝海 姜勝海
